"student_id","student_name","gender","class_name","class_teacher","teacher_phone","subject_name","subject_teacher","term_name","year","ca1","ca2","exam","total","grade","school_fees_paid","payment_date","parent_name","parent_phone"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Mathematics","Mr Bello Ahmed","1st",2024,11,8,58,77,"A","Yes","2024-03-15","MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","English","Mrs Johnson Mary","1st",2024,19,15,37,71,"A","Yes","2024-03-15","MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Biology","Dr Adebayo Tunde","1st",2024,17,9,36,62,"B","Yes","2024-03-15","MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Chemistry","Mr Musa Lawal","1st",2024,14,7,52,73,"A","Yes","2024-03-15","MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Physics","Mr Okonkwo James","1st",2024,15,15,53,83,"A","Yes","2024-03-15","MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Mathematics","Mr Bello Ahmed","2nd",2024,9,8,37,54,"C","No",NULL,"MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","English","Mrs Johnson Mary","2nd",2024,12,7,51,70,"A","No",NULL,"MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Biology","Dr Adebayo Tunde","2nd",2024,9,6,53,68,"B","No",NULL,"MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Chemistry","Mr Musa Lawal","2nd",2024,16,18,35,69,"B","No",NULL,"MRS Okafor","08021668732"
"STU0001","Noxy Okafor","M","SS2","Mr Okoye John","08033445566","Physics","Mr Okonkwo James","2nd",2024,6,16,50,72,"A","No",NULL,"MRS Okafor","08021668732"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Mathematics","Mr Bello Ahmed","1st",2024,5,16,55,76,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","English","Mrs Johnson Mary","1st",2024,10,17,41,68,"B","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Biology","Dr Adebayo Tunde","1st",2024,13,5,56,74,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Chemistry","Mr Musa Lawal","1st",2024,15,19,39,73,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Physics","Mr Okonkwo James","1st",2024,16,16,45,77,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Mathematics","Mr Bello Ahmed","2nd",2024,19,18,59,96,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","English","Mrs Johnson Mary","2nd",2024,19,18,48,85,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Biology","Dr Adebayo Tunde","2nd",2024,16,11,49,76,"A","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Chemistry","Mr Musa Lawal","2nd",2024,13,7,34,54,"C","No",NULL,"MRS Usman","08036687537"
"STU0002","Young Usman","M","SS3","Mr Yusuf Ibrahim","08023455599","Physics","Mr Okonkwo James","2nd",2024,7,11,50,68,"B","No",NULL,"MRS Usman","08036687537"
"STU0003","ikeora Amusan","F","SS2","Mr Okoye John","08033445566","Mathematics","Mr Bello Ahmed","1st",2024,13,11,47,71,"A","Yes","2024-04-27","Mr Amusan","08031429110"
"STU0003","ikeora Amusan","F","SS2","Mr Okoye John","08033445566","English","Mrs Johnson Mary","1st",2024,8,13,57,78,"A","Yes","2024-04-27","Mr Amusan","08031429110"
"STU0003","ikeora Amusan","F","SS2","Mr Okoye John","08033445566","Biology","Dr Adebayo Tunde","1st",2024,18,6,55,79,"A","Yes","2024-04-27","Mr Amusan","08031429110"
"STU0003","ikeora Amusan","F","SS2","Mr Okoye John","08033445566","Chemistry","Mr Musa Lawal","1st",2024,13,14,50,77,"A","Yes","2024-04-27","Mr Amusan","08031429110"
"STU0003","ikeora Amusan","F","SS2","Mr Okoye John","08033445566","Physics","Mr Okonkwo James","1st",2024,6,8,57,71,"A","Yes","2024-04-27","Mr Amusan","08031429110"
